GPCUSTID,BBDDate,BBDate,BBAmount,BBTransDesc
GARCIA55023    ,1-Jun-2016,26-Jun-2016,30.00,EPIV00000084430      
GARCIA55023    ,1-Jul-2016,26-Jul-2016,30.00,EPIV00000088394      
GARCIA55116    ,1-Jul-2017,26-Jul-2017,31.50,EPIV00000150111      
GARCIA59171    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149424      
GARDENER6967   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152000      
GARDNER2071    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152253      
GARDNER51980   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149993      
GARDNER54769   ,21-Jun-2017,1-Jan-1900,-30.00,PYMNT00037464        
GARDNER54831   ,1-Jul-2017,26-Jul-2017,31.50,EPIV00000149282      
GARDNER55982   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000148099      
GARDNER56488   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152350      
GARDNER56751   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149297      
GARDNER59073   ,1-Jul-2017,26-Jul-2017,31.50,EPIV00000149483      
GARDNER59337   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000148010      
GARDNER59337   ,1-May-2017,26-May-2017,30.00,EPIV00000136465      
GARDNER59337   ,1-Jun-2017,26-Jun-2017,30.00,EPIV00000142136      
GARLICK61127   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149984      
GARN58100      ,1-Jul-2017,26-Jul-2017,31.50,EPIV00000151988      
GARN58100      ,1-Jun-2017,26-Jun-2017,31.50,EPIV00000145980      
GARNER54087    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149730      
GARNER57783    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000148934      
GARRETT61081   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000153056      
GARRIOTT610    ,1-Jul-2017,31-Jul-2017,30.00,EPIV00000150503      
GARVIN51155    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000148182      
GARVIN57581    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000148491      
GARY58846      ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149395      
GARZA56573     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152233      
GARZA60881     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152090      
GARZA60881     ,1-Jun-2017,26-Jun-2017,30.00,EPIV00000146075      
GASSER58272    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152432      
GAUDETTE60597  ,1-Jul-2017,1-Jan-1900,-30.00,WEBPMT0000108923     
GEBHARDT52375  ,14-Jul-2016,1-Jan-1900,-25.00,PYMNT00027385        
GEBHARDT52375  ,16-Jun-2016,1-Jan-1900,-5.00,PYMNT00026782        
GEDDES51288    ,7-Oct-2015,1-Nov-2015,112.50,EPIV00000060527      
GEDDES51288    ,7-Sep-2015,2-Oct-2015,112.50,EPIV00000057674      
GEHRING6042    ,1-Jul-2017,25-Jul-2017,30.00,EPIV00000153080      
GELINAS50876   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151263      
GENTRY2076     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152135      
GEORGE57735    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150455      
GEORGE59851    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151838      
GERES52125     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149807      
GERLACH58078   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152223      
GERRARD1728    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000148888      
GERSBACH52112  ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000147853      
GETZ55152      ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000147941      
GIANCHETTA54004,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152398      
GIANNONI7086   ,1-Jul-2017,26-Jul-2017,16.50,EPIV00000153020      
GIBBONS54764   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151322      
GIBBONS8662    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151418      
GIBBS4940      ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151101      
GIBBS4940      ,1-Jun-2017,26-Jun-2017,30.00,EPIV00000145114      
GIBBS57303     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151192      
GIBBS58940     ,6-Jul-2017,1-Jan-1900,-9.00,PYMNT00037828        
GIBBY58472     ,1-Jul-2017,26-Jul-2017,31.50,EPIV00000149182      
GIBBY59138     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000153365      
GIBSON0458     ,11-Jul-2017,5-Aug-2017,300.00,ETF S. GIBSON        
GIBSON0458     ,1-Jul-2017,26-Jul-2017,15.00,EPIV00000152036      
GIBSON1685     ,1-Feb-2013,25-Feb-2013,30.00,SCHED00009159        
GIBSON1685     ,1-Jun-2013,25-Jun-2013,30.00,EPIV00000003917      
GIBSON1685     ,1-Apr-2013,25-Apr-2013,30.00,EPIV00000001106      
GIBSON1685     ,1-Jul-2013,25-Jul-2013,30.00,EPIV00000005379      
GIBSON1685     ,1-Aug-2013,25-Aug-2013,30.00,EPIV00000006862      
GIBSON1685     ,1-Mar-2013,25-Mar-2013,30.00,SCHED00010297        
GIBSON1685     ,1-Sep-2013,25-Sep-2013,30.00,EPIV00000008359      
GIBSON1685     ,1-May-2013,25-May-2013,30.00,EPIV00000002498      
GIBSON1778     ,1-Jul-2017,25-Jul-2017,30.00,EPIV00000147498      
GIBSON54245    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000153350      
GIBSON60743    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151095      
GIBSON61307    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150774      
GIFFORD53240   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149000      
GIFFORD53240   ,1-Jun-2017,26-Jun-2017,30.00,EPIV00000143087      
GIGUERE51047   ,1-Oct-2015,26-Oct-2015,30.00,EPIV00000060136      
GILBERT59141   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150020      
GILES53454     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150802      
GILL3502       ,1-Feb-2013,25-Feb-2013,30.00,SCHED00009164        
GILL54974      ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151198      
GILL7001       ,1-Jun-2017,26-Jun-2017,30.00,EPIV00000146196      
GILL7001       ,30-Jun-2017,25-Jul-2017,300.00,ETF M .GILL          
GILL7001       ,1-Apr-2017,26-Apr-2017,30.00,EPIV00000134759      
GILL7001       ,1-May-2017,26-May-2017,30.00,EPIV00000140374      
GILLAND60474   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150643      
GILLEN58335    ,1-Jul-2017,26-Jul-2017,15.00,EPIV00000149906      
GILLEN59306    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149676      
GILLIS57348    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151851      
GILLIS57348    ,1-Jun-2017,26-Jun-2017,30.00,EPIV00000145851      
GILLMAN1742    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000147423      
GILLO53842     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151926      
GILMORE3181    ,1-Jan-2014,25-Jan-2014,30.00,EPIV00000013930      
GILMORE3181    ,1-Mar-2014,25-Mar-2014,30.00,EPIV00000017381      
GILMORE3181    ,1-Jun-2013,25-Jun-2013,30.00,EPIV00000003239      
GILMORE3181    ,1-Sep-2013,25-Sep-2013,30.00,EPIV00000007552      
GILMORE3181    ,1-Nov-2013,25-Nov-2013,30.00,EPIV00000010649      
GILMORE3181    ,1-Dec-2013,25-Dec-2013,30.00,EPIV00000012271      
GILMORE3181    ,1-Aug-2013,25-Aug-2013,30.00,EPIV00000006214      
GILMORE3181    ,1-Feb-2014,25-Feb-2014,30.00,EPIV00000015635      
GILMORE3181    ,1-Apr-2014,25-Apr-2014,30.00,EPIV00000019140      
GILMORE3181    ,1-Jul-2013,25-Jul-2013,30.00,EPIV00000004711      
GILMORE3181    ,1-Oct-2013,25-Oct-2013,30.00,EPIV00000009082      
GINES1742      ,1-Jun-2017,25-Jun-2017,30.00,EPIV00000142472      
GINES1742      ,1-Jul-2017,25-Jul-2017,30.00,EPIV00000148360      
GINGER2085     ,1-Aug-2014,25-Aug-2014,25.00,EPIV00000027036      
GINGER2085     ,1-Mar-2014,25-Mar-2014,25.00,EPIV00000017834      
